CRD Data Format
---------------

ID	Variable	Size		Type		Notes
--	--------	----		----		-----
0	Time		 - 		double 		(seconds since Midnight, Jan 1, 1904))
1	RHw		Int Word	single		RHw corrected for dilution and temperature (%)
2	TRH		Int Word	single		Vaisala temperature (degC)
3	P		Int Word	single		Pressure sensor pressure (mb)
4	Tmean 		Int Word	single		Mean temperature (based on thermistor data, degC)
5	RHvaisala	Int Word	single		Sensor based RHw (%)
6	Talicat		Int Word	single		Temperature (degC)
7	Palicat		Int Word	single		Alicat pressure (mb)
8	volFlow		Int Word	single		Cell volumetric flow rate (lpm)
9	stdFlow		Int Word	single		Cell standard flow rate (slpm)
10	calcFlow	Int Word	single		Cell flow rate corrected for temperature and pressure (lpm)
11	flowSP		Int Word	single		Flow rate set point (lpm)
12	dilFac		Int Word	single		Flow dilution factor for correcting extinction 
13	taucorr		Int Word	single		Pressure corrected decay constant (us)
14	tau0corr	Int Word	single		Pressure corrected filtered decay constant (us)
15	stdevtau	Int Word	single		Standard deviation in 1 Hz retrieved tau (us)
16	ext		Int Word	single		Extinction corrected for pressure (Mm-1)
17	extcorr		Int Word	single		Extinction corrected for pressure AND gas (Mm-1)
18	etau		Int Word	single		Error in tau (us)
19	tau		Int Word	single		No pressure correction decay constant (us)
20	tau0		Int Word	single		No pressure correction filtered decay constant (us)
21	purgeFlow	Int Word	single		Purge flow data: P,T,Q,Q0
22	NoData		Int Word	single		Dangling thermistors (degC)
23	heaterT		Int Word	single		CN79000 heater temperatures
24	Ttec		- 		single		TE Cooler temperature (degC)
25	angExp		-		single		Angstrom Exponent
26	gamma		-		single		f(RH) power dependence
27	filter		-		U8		boolean; 1 = TRUE (filtered), 0 = FALSE (No filter)
28	fOverride	-		U8		boolean; 1 = TRUE (override), 0 = FALSE (No override)
29	notes		Int Word	U8		string of U8 characters; the array tells how many characters are in the string
